sample	well	conc	dilution_factor	group_mean
liv1_bb_noSon_1	A4	3214.8854292682217	5	3214.8854292682217
liv1_bb_noSon_2	A5	3066.0080024544	5	3066.0080024544
liv1_bb_noSon_3	A6	3033.2341188272867	5	3033.2341188272867
liv1_bb_son_1	A1	3266.2167098291843	5	3266.2167098291843
liv1_bb_son_2	A2	3468.782386571669	5	3468.782386571669
liv1_bb_son_3	A3	3381.1334479297866	5	3381.1334479297866
liv1_tpx150_1	A10	3710.042529283651	5	3710.042529283651
liv1_tpx150_2	A11	3682.1017438570657	5	3682.1017438570657
liv1_tpx150_3	A12	3555.7741047780523	5	3555.7741047780523
liv1_tpx_1	A7	3429.076306270386	5	3429.076306270386
liv1_tpx_2	A8	3559.4817359698095	5	3559.4817359698095
liv1_tpx_3	A9	3426.308176154502	5	3426.308176154502
liv2_bb_noSon_1	B4	3015.9524022416936	5	3015.9524022416936
liv2_bb_noSon_2	B5	2867.2322398079086	5	2867.2322398079086
liv2_bb_noSon_3	B6	2622.3460132457094	5	2622.3460132457094
liv2_bb_son_1	B1	3456.772396688011	5	3456.772396688011
liv2_bb_son_2	B2	3257.9607206920946	5	3257.9607206920946
liv2_bb_son_3	B3	3227.7094654850634	5	3227.7094654850634
liv2_tpx150_1	B10	3484.4953766670615	5	3484.4953766670615
liv2_tpx150_2	B11	2326.436382770131	5	2326.436382770131
liv2_tpx150_3	B12	1396.0161702728956	5	1396.0161702728956
liv2_tpx_1	B7	3752.0041253511995	5	3752.0041253511995
liv2_tpx_2	B8	3456.772396688011	5	3456.772396688011
liv2_tpx_3	B9	3503.9174619414434	5	3503.9174619414434
liv3_bb_noSon_1	C4	1655.406109890545	5	1655.406109890545
liv3_bb_noSon_2	C5	1614.858437240543	5	1614.858437240543
liv3_bb_noSon_3	C6	1603.6547756721243	5	1603.6547756721243
liv3_bb_son_1	C1	2091.728421182933	5	2091.728421182933
liv3_bb_son_2	C2	1808.6992070638762	5	1808.6992070638762
liv3_bb_son_3	C3	1940.2145553651803	5	1940.2145553651803
liv3_tpx150_1	C10	3530.7600978797536	5	3530.7600978797536
liv3_tpx150_2	C11	3647.678474732483	5	3647.678474732483
liv3_tpx150_3	C12	4084.212038300867	5	4084.212038300867
liv3_tpx_1	C7	3247.8733538042707	5	3247.8733538042707
liv3_tpx_2	C8	3847.3410664843054	5	3847.3410664843054
liv3_tpx_3	C9	3610.5101407602606	5	3610.5101407602606
liv4_bb_noSon_1	D4	3312.1273851497904	5	3312.1273851497904
liv4_bb_noSon_2	D5	3187.425070672414	5	3187.425070672414
liv4_bb_noSon_3	D6	3347.06945322312	5	3347.06945322312
liv4_bb_son_1	D1	3748.2717557629326	5	3748.2717557629326
liv4_bb_son_2	D2	3786.5512059674957	5	3786.5512059674957
liv4_bb_son_3	D3	3709.1107365487196	5	3709.1107365487196
liv4_tpx150_1	D10	3775.342265795667	5	3775.342265795667
liv4_tpx150_2	D11	4152.237947535942	5	4152.237947535942
liv4_tpx150_3	D12	4342.011468823079	5	4342.011468823079
liv4_tpx_1	D7	3409.7050422670955	5	3409.7050422670955
liv4_tpx_2	D8	4100.2597436814085	5	4100.2597436814085
liv4_tpx_3	D9	4084.212038300867	5	4084.212038300867
liv5_bb_noSon_1	E4	2809.4130879596614	5	2809.4130879596614
liv5_bb_noSon_2	E5	3249.707151615534	5	3249.707151615534
liv5_bb_noSon_3	E6	2744.512821344531	5	2744.512821344531
liv5_bb_son_1	E1	3447.5373788197558	5	3447.5373788197558
liv5_bb_son_2	E2	3248.7902377712567	5	3248.7902377712567
liv5_bb_son_3	E3	2840.1142749609025	5	2840.1142749609025
liv5_tpx150_1	E10	3472.478783902209	5	3472.478783902209
liv5_tpx150_2	E11	3886.6878029360887	5	3886.6878029360887
liv5_tpx150_3	E12	3852.0224381268163	5	3852.0224381268163
liv5_tpx_1	E7	3804.307493434935	5	3804.307493434935
liv5_tpx_2	E8	4155.0757216159145	5	4155.0757216159145
liv5_tpx_3	E9	3977.7614453522483	5	3977.7614453522483
