sample	well	conc	dilution_factor	group_mean
liv6_bb_noSon_1	A4	242.9690737231926	5	242.9690737231926
liv6_bb_noSon_2	A5	247.82543009644547	5	247.82543009644547
liv6_bb_noSon_3	A6	224.3639278271374	5	224.3639278271374
liv6_bb_son_1	A1	279.42039188013223	5	279.42039188013223
liv6_bb_son_2	A2	308.6290417689871	5	308.6290417689871
liv6_bb_son_3	A3	287.5296619814744	5	287.5296619814744
liv6_tpx150_1	A10	1358.4382784290556	5	1358.4382784290556
liv6_tpx150_2	A11	1546.0507541872314	5	1546.0507541872314
liv6_tpx150_3	A12	1566.706216229802	5	1566.706216229802
liv6_tpx_1	A7	1546.911023029761	5	1546.911023029761
liv6_tpx_2	A8	1585.656907775568	5	1585.656907775568
liv6_tpx_3	A9	1577.0409984160208	5	1577.0409984160208
liv7_bb_noSon_1	B4	2481.6277038369203	5	2481.6277038369203
liv7_bb_noSon_2	B5	2420.839687309791	5	2420.839687309791
liv7_bb_noSon_3	B6	2564.110576348711	5	2564.110576348711
liv7_bb_son_1	B1	3014.4754278209075	5	3014.4754278209075
liv7_bb_son_2	B2	2966.9770649125057	5	2966.9770649125057
liv7_bb_son_3	B3	2920.477872266972	5	2920.477872266972
liv7_tpx150_1	B10	3237.6089840932927	5	3237.6089840932927
liv7_tpx150_2	B11	3318.889983121389	5	3318.889983121389
liv7_tpx150_3	B12	3142.794374802656	5	3142.794374802656
liv7_tpx_1	B7	3120.7514001936715	5	3120.7514001936715
liv7_tpx_2	B8	3559.5816614071596	5	3559.5816614071596
liv7_tpx_3	B9	3651.2252347528893	5	3651.2252347528893
liv8_bb_noSon_1	C4	4249.763151977514	5	4249.763151977514
liv8_bb_noSon_2	C5	4012.3901953947893	5	4012.3901953947893
liv8_bb_noSon_3	C6	4047.5344512415177	5	4047.5344512415177
liv8_bb_son_1	C1	5018.237897095068	5	5018.237897095068
liv8_bb_son_2	C2	4880.906516710924	5	4880.906516710924
liv8_bb_son_3	C3	4790.032927073021	5	4790.032927073021
liv8_tpx150_1	C10	4619.799745309436	5	4619.799745309436
liv8_tpx150_2	C11	4803.694769999327	5	4803.694769999327
liv8_tpx150_3	C12	4782.229032383385	5	4782.229032383385
liv8_tpx_1	C7	4803.694769999327	5	4803.694769999327
liv8_tpx_2	C8	5292.835479079348	5	5292.835479079348
liv8_tpx_3	C9	5359.392758150112	5	5359.392758150112
