"liv6_bb_son_1_1/5"	"liv6_bb_son_2_1/5"	"liv6_bb_son_3_1/5"	"liv6_bb_noSon_1_1/5"	"liv6_bb_noSon_2_1/5"	"liv6_bb_noSon_3_1/5"	"liv6_tpx_1_1/5"	"liv6_tpx_2_1/5"	"liv6_tpx_3_1/5"	"liv6_tpx150_1_1/5"	"liv6_tpx150_2_1/5"	"liv6_tpx150_3_1/5"
"liv7_bb_son_1_1/5"	"liv7_bb_son_2_1/5"	"liv7_bb_son_3_1/5"	"liv7_bb_noSon_1_1/5"	"liv7_bb_noSon_2_1/5"	"liv7_bb_noSon_3_1/5"	"liv7_tpx_1_1/5"	"liv7_tpx_2_1/5"	"liv7_tpx_3_1/5"	"liv7_tpx150_1_1/5"	"liv7_tpx150_2_1/5"	"liv7_tpx150_3_1/5"
"liv8_bb_son_1_1/5"	"liv8_bb_son_2_1/5"	"liv8_bb_son_3_1/5"	"liv8_bb_noSon_1_1/5"	"liv8_bb_noSon_2_1/5"	"liv8_bb_noSon_3_1/5"	"liv8_tpx_1_1/5"	"liv8_tpx_2_1/5"	"liv8_tpx_3_1/5"	"liv8_tpx150_1_1/5"	"liv8_tpx150_2_1/5"	"liv8_tpx150_3_1/5"
"standard_2000"	"standard_1000"	"standard_500"	"standard_250"	"standard_125"	"standard_62.5"	"standard_0"	""	""	""	""	""
"standard_2000"	"standard_1000"	"standard_500"	"standard_250"	"standard_125"	"standard_62.5"	"standard_0"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""
